Wall time,Step,Value
1497318997.9676073,0,2.9306788444519043
1497318999.7046251,1,2.861070156097412
1497319001.445474,2,2.9311013221740723
1497319003.1839364,3,2.917623996734619
1497319004.920741,4,2.924144744873047
1497319006.6725554,5,2.891115188598633
1497319008.4118445,6,2.8837904930114746
1497319010.1602912,7,2.928614854812622
1497319011.9137151,8,2.911219596862793
1497319013.6626856,9,2.903479814529419
1497319015.4119625,10,2.920008659362793
1497319017.1589787,11,2.9052767753601074
1497319018.9128067,12,2.903963327407837
1497319020.6616623,13,2.910435199737549
1497319022.4168074,14,2.912468910217285
1497319024.163984,15,2.9054698944091797
1497319025.9212644,16,2.8902783393859863
1497319027.6759305,17,2.9019627571105957
1497319029.433299,18,2.9127819538116455
1497319031.1884735,19,2.920970916748047
1497319032.9350193,20,2.901029109954834
1497319034.6918354,21,2.905561923980713
1497319036.4430623,22,2.891463041305542
1497319038.2006948,23,2.874140739440918
1497319039.9516788,24,2.8913803100585938
1497319041.7121608,25,2.893256187438965
1497319043.4676175,26,2.8709962368011475
1497319045.2312493,27,2.8524184226989746
1497319046.9904637,28,2.8648061752319336
1497319048.746303,29,2.8965041637420654
1497319050.504593,30,2.8942227363586426
1497319052.2631526,31,2.885996103286743
1497319054.0232112,32,2.8669819831848145
1497319055.785798,33,2.957615613937378
1497319057.549521,34,3.0213675498962402
1497319059.3206928,35,2.8894639015197754
1497319061.0993707,36,2.9207191467285156
1497319062.8752363,37,2.8721041679382324
1497319064.6602023,38,2.884232521057129
1497319066.44107,39,2.833580493927002
1497319068.2193942,40,2.9501686096191406
1497319069.9912915,41,2.8934149742126465
1497319071.7668567,42,2.9127614498138428
1497319073.5412035,43,2.8878026008605957
1497319075.3170605,44,2.8516952991485596
1497319077.1046972,45,2.911961078643799
1497319078.8900204,46,2.967341899871826
1497319080.682158,47,2.8915724754333496
1497319082.4695044,48,2.8625192642211914
1497319084.248138,49,2.8961715698242188
1497319086.0275989,50,2.88607120513916
1497319087.8110342,51,2.8887228965759277
1497319089.6057842,52,2.8912158012390137
1497319091.4029245,53,2.9016175270080566
1497319093.1897428,54,2.8874270915985107
1497319094.978082,55,2.8902177810668945
1497319096.7646065,56,2.895925998687744
1497319098.5431135,57,2.848320484161377
1497319100.3397238,58,2.8574345111846924
1497319102.1319559,59,2.9046590328216553
1497319103.92008,60,2.892059087753296
1497319105.7118852,61,2.8944432735443115
1497319107.4935684,62,2.856955051422119
1497319109.2778716,63,2.8314781188964844
1497319111.068917,64,2.8308708667755127
1497319112.8652947,65,3.0026984214782715
1497319114.659062,66,2.819326877593994
1497319116.4487236,67,3.018496036529541
1497319118.2404864,68,2.936581611633301
1497319120.0245452,69,2.8976423740386963
1497319121.8105543,70,2.8334155082702637
1497319123.6072402,71,2.861330032348633
1497319125.391112,72,2.8431408405303955
1497319127.1839633,73,2.9191555976867676
1497319128.9781308,74,2.885500907897949
1497319130.7690997,75,2.8674516677856445
1497319132.5602553,76,2.8287394046783447
1497319134.3606627,77,2.8532676696777344
1497319136.160362,78,2.86159610748291
1497319137.9581096,79,2.8839187622070312
1497319139.7535608,80,2.880544424057007
1497319141.5322676,81,2.836333751678467
1497319143.313377,82,2.8727946281433105
1497319145.1043797,83,2.8172948360443115
1497319146.9084177,84,2.821939706802368
