Wall time,Step,Value
1497308566.981772,0,2.8778834342956543
1497308568.7990515,1,3.184338092803955
1497308570.6173851,2,2.9511842727661133
1497308572.4414084,3,2.9408459663391113
1497308574.272508,4,2.919808864593506
1497308576.0946681,5,2.9241929054260254
1497308577.918716,6,2.924294948577881
1497308579.7474878,7,2.9303417205810547
1497308581.57668,8,2.896726608276367
1497308583.4106379,9,2.9211697578430176
1497308585.2379682,10,2.919767141342163
1497308587.067495,11,2.906223773956299
1497308588.9045782,12,2.9222779273986816
1497308590.7417321,13,2.918389081954956
1497308592.577746,14,2.908432722091675
1497308594.413691,15,2.910618305206299
1497308596.2557616,16,2.9168472290039062
1497308598.1031508,17,2.895379066467285
1497308599.946341,18,2.880951166152954
1497308601.7915046,19,2.893002510070801
1497308603.6294906,20,2.9315719604492188
1497308605.4831278,21,2.8907270431518555
1497308607.3331978,22,2.9170355796813965
1497308609.18297,23,2.8834664821624756
1497308611.0278878,24,2.893836498260498
1497308612.884768,25,2.9358720779418945
1497308614.7427158,26,2.9232640266418457
1497308616.5986462,27,2.915024757385254
1497308618.4535737,28,2.914196491241455
1497308620.305641,29,2.9143285751342773
1497308622.1642272,30,2.893495559692383
1497308624.0230079,31,2.9000630378723145
1497308625.8857505,32,2.9333853721618652
1497308627.7445688,33,2.8978400230407715
1497308629.610426,34,2.904679536819458
1497308631.4760094,35,2.9090819358825684
1497308633.345745,36,2.8779351711273193
1497308635.2138968,37,2.8958826065063477
1497308637.0828655,38,2.8610267639160156
1497308638.952875,39,2.933297634124756
1497308640.8305206,40,2.8866336345672607
1497308642.7022762,41,2.940441131591797
1497308644.5925636,42,2.8928298950195312
1497308646.4655983,43,2.9641971588134766
1497308648.3418648,44,2.920846462249756
1497308650.2242951,45,2.909618854522705
1497308652.108658,46,2.9133708477020264
1497308653.9866688,47,2.9235074520111084
1497308655.8630848,48,2.9221839904785156
1497308657.7396579,49,2.9163739681243896
1497308659.616926,50,2.9113669395446777
1497308661.492697,51,2.922677516937256
1497308663.3707132,52,2.91013765335083
1497308665.248349,53,2.8926358222961426
1497308667.1405134,54,2.9082889556884766
1497308669.021145,55,2.906477928161621
1497308670.903248,56,2.892284393310547
1497308672.7845404,57,2.901402711868286
1497308674.6635427,58,2.887143135070801
1497308676.539603,59,2.9104740619659424
1497308678.4215386,60,2.8669281005859375
1497308680.2965055,61,2.9542717933654785
1497308682.1730134,62,2.9087066650390625
1497308684.0471017,63,2.887882709503174
1497308685.9278307,64,2.9003875255584717
1497308687.8143055,65,2.9278295040130615
1497308689.6914966,66,2.881798505783081
1497308691.5723836,67,2.8969829082489014
1497308693.4515996,68,2.899214267730713
1497308695.3364866,69,2.902010440826416
1497308697.2175152,70,2.8907816410064697
1497308699.0939229,71,2.8844878673553467
1497308700.972928,72,2.8904378414154053
1497308702.8554523,73,2.917996883392334
1497308704.7290268,74,2.927407741546631
1497308706.6193821,75,2.928342819213867
1497308708.5026975,76,2.891960620880127
1497308710.3880312,77,2.871670961380005
1497308712.2712848,78,2.89200758934021
1497308714.1544807,79,2.9077792167663574
1497308716.03458,80,2.888286590576172
1497308717.9225295,81,2.909585475921631
1497308719.8034284,82,2.9079830646514893
1497308721.6856241,83,2.8854525089263916
1497308723.568227,84,2.9032883644104004
1497308725.4495342,85,2.914599895477295
1497308727.33635,86,2.884982109069824
1497308729.2187476,87,2.859950304031372
1497308731.1042376,88,2.8980720043182373
1497308732.9864597,89,2.89648699760437
1497308734.8783112,90,2.868504047393799
1497308736.7675853,91,2.8999037742614746
1497308738.6605098,92,2.9170799255371094
1497308740.5373006,93,2.8721470832824707
1497308742.4277074,94,2.8797876834869385
1497308744.3149683,95,2.876300811767578
1497308746.2001135,96,2.890450954437256
1497308748.0802653,97,2.887709140777588
1497308749.9665697,98,2.9153499603271484
1497308751.8489034,99,2.9146387577056885
1497308753.7276638,100,2.898334503173828
1497308755.6101274,101,2.890509605407715
1497308757.487461,102,2.903522491455078
1497308759.3739953,103,2.9105606079101562
1497308761.2546227,104,2.8930413722991943
1497308763.1364968,105,2.8293442726135254
1497308765.0208366,106,2.913832902908325
1497308766.9145281,107,2.895561695098877
1497308768.79635,108,2.893681526184082
1497308770.6932302,109,2.8771891593933105
1497308772.5797436,110,2.9329943656921387
1497308774.4730303,111,2.8497815132141113
1497308776.3580313,112,2.902906894683838
1497308778.2435784,113,2.960310459136963
1497308780.134557,114,2.846705436706543
1497308782.0225234,115,2.8986661434173584
1497308783.909238,116,2.865675449371338
1497308785.7922394,117,2.921506643295288
1497308787.681515,118,2.855907917022705
1497308789.5651972,119,2.8846044540405273
1497308791.444324,120,2.8998875617980957
1497308793.324746,121,2.877424716949463
1497308795.2124946,122,2.899595260620117
1497308797.091505,123,2.911510467529297
1497308798.9666283,124,2.871309280395508
1497308800.8469973,125,2.8819174766540527
1497308802.7381237,126,2.866964340209961
1497308804.6258225,127,2.9564523696899414
1497308806.5175798,128,2.8666937351226807
1497308808.403341,129,2.984376907348633
1497308810.2831616,130,2.8754076957702637
1497308812.1736193,131,2.917308807373047
1497308814.056683,132,2.890000820159912
1497308815.9434712,133,2.879986524581909
1497308817.8217442,134,2.843597888946533
1497308819.718917,135,2.884746551513672
1497308821.607894,136,2.859849452972412
1497308823.4980543,137,2.9100847244262695
1497308825.3890135,138,2.8714146614074707
1497308827.2709844,139,2.9027833938598633
1497308829.1574936,140,2.862802267074585
1497308831.0417876,141,2.8924646377563477
1497308832.9305491,142,2.8775534629821777
1497308834.815469,143,2.8643174171447754
1497308836.701213,144,2.920222759246826
1497308838.5846229,145,2.852529525756836
1497308840.486413,146,2.855858325958252
1497308842.3761346,147,2.9291348457336426
1497308844.2596238,148,2.8818511962890625
1497308846.1585534,149,2.8854784965515137
1497308848.043935,150,2.8985719680786133
1497308849.932525,151,2.8317813873291016
1497308851.8151052,152,2.848700523376465
1497308853.7045424,153,2.872282028198242
1497308855.5920005,154,2.9293112754821777
1497308857.4845397,155,2.8576810359954834
1497308859.366125,156,2.8271660804748535
1497308861.2513335,157,2.831080436706543
1497308863.1301887,158,2.9064464569091797
1497308865.0187159,159,3.014235258102417
1497308866.9065096,160,2.857283353805542
1497308868.7955532,161,2.8420188426971436
1497308870.6860607,162,2.8616487979888916
1497308872.5668023,163,2.8712687492370605
1497308874.4609404,164,2.7819666862487793
1497308876.3442917,165,2.949618339538574
1497308878.225623,166,2.898974895477295
1497308880.1081269,167,2.847890853881836
1497308881.9918473,168,2.819319725036621
1497308883.8823335,169,2.8988866806030273
1497308885.7630236,170,2.825985908508301
1497308887.6490877,171,2.8432929515838623
1497308889.5412588,172,2.8789114952087402
1497308891.4328916,173,2.8636624813079834
1497308893.3142707,174,2.83219575881958
1497308895.1997073,175,2.965311050415039
1497308897.080726,176,2.9289445877075195
1497308898.970267,177,2.8891196250915527
1497308900.855517,178,2.9330406188964844
1497308902.7502654,179,2.889268398284912
1497308904.632708,180,2.83433198928833
1497308906.5200856,181,2.9872758388519287
1497308908.4076874,182,2.8382625579833984
1497308910.2943182,183,2.954517364501953
1497308912.192528,184,2.870931625366211
1497308914.078648,185,2.899570941925049
1497308915.9652185,186,2.921321392059326
1497308917.8490374,187,2.870166778564453
1497308919.737556,188,2.8720483779907227
1497308921.6181393,189,2.7979238033294678
1497308923.5100937,190,2.9457314014434814
1497308925.3931203,191,2.869295835494995
1497308927.2836127,192,2.8758692741394043
1497308929.1689212,193,2.8610613346099854
1497308931.0598097,194,2.852329969406128
1497308932.9563699,195,2.9170618057250977
1497308934.8397298,196,2.846783399581909
1497308936.7230392,197,2.8726305961608887
1497308938.6113987,198,2.881009101867676
1497308940.4985461,199,2.8152172565460205
1497308942.3868291,200,2.8162484169006348
1497308944.2678165,201,2.864530563354492
1497308946.1506407,202,2.7818572521209717
1497308948.042231,203,2.8842813968658447
1497308949.9263053,204,2.882385492324829
1497308951.813388,205,2.838292121887207
1497308953.7008998,206,2.845277786254883
1497308955.5928388,207,2.874049425125122
1497308957.4860632,208,2.8684468269348145
1497308959.3700354,209,2.8068413734436035
1497308961.2656102,210,2.8177297115325928
1497308963.1530156,211,2.853841543197632
1497308965.0355527,212,2.9330477714538574
1497308966.9205167,213,2.850559711456299
1497308968.8145201,214,2.8893492221832275
1497308970.7015061,215,2.9124536514282227
1497308972.5895674,216,2.8653135299682617
1497308974.4745576,217,2.8325116634368896
1497308976.3701916,218,2.8749072551727295
1497308978.2627451,219,2.8994483947753906
1497308980.1503325,220,2.8335976600646973
1497308982.0442152,221,2.766960859298706
1497308983.9380913,222,2.917468547821045
1497308985.8178968,223,2.80502986907959
1497308987.7080555,224,2.8277029991149902
1497308989.604877,225,2.8149406909942627
1497308991.4956808,226,2.7946839332580566
1497308993.3779545,227,2.844405174255371
1497308995.2726145,228,2.9042551517486572
1497308997.1550047,229,2.9692177772521973
1497308999.0434358,230,3.306870698928833
1497309000.9304104,231,2.881941795349121
1497309002.8343923,232,2.845644474029541
1497309004.7153106,233,2.9307026863098145
1497309006.6000705,234,2.8683979511260986
1497309008.4851725,235,2.8596973419189453
1497309010.3796465,236,2.84098482131958
1497309012.275421,237,2.821014881134033
1497309014.1673858,238,2.8031768798828125
1497309016.0610728,239,2.8263959884643555
1497309017.9480367,240,2.8831067085266113
1497309019.8294609,241,2.8002984523773193
1497309021.7118618,242,2.8574440479278564
1497309023.6217697,243,2.893047571182251
1497309025.5076075,244,2.790283679962158
1497309027.396303,245,2.8063039779663086
1497309029.2843468,246,2.8681912422180176
1497309031.168896,247,2.8105783462524414
1497309033.055392,248,2.822589874267578
1497309034.9415023,249,2.812987804412842
1497309036.8272676,250,2.857590913772583
1497309038.7161744,251,2.851778745651245
1497309040.6023366,252,2.8428449630737305
1497309042.4843767,253,2.7801923751831055
1497309044.3796175,254,2.9047739505767822
1497309046.2723088,255,2.777900218963623
1497309048.1524746,256,2.770167350769043
1497309050.038191,257,2.952716588973999
1497309051.9186668,258,2.7950220108032227
1497309053.8126104,259,2.804849147796631
1497309055.6955633,260,2.7504327297210693
1497309057.5936525,261,2.816464424133301
1497309059.4793613,262,2.8666508197784424
1497309061.3730428,263,2.820328712463379
1497309063.2580464,264,2.8748655319213867
1497309065.144086,265,2.7654144763946533
1497309067.0436382,266,2.786066770553589
1497309068.930384,267,2.799070119857788
1497309070.818807,268,2.838594913482666
1497309072.6951823,269,2.817310333251953
1497309074.5909874,270,2.921234130859375
1497309076.4766586,271,2.903630495071411
1497309078.376292,272,2.8415329456329346
1497309080.26159,273,2.82814359664917
1497309082.1483748,274,2.806795120239258
1497309084.036703,275,2.7933731079101562
1497309085.9223044,276,2.8536672592163086
1497309087.813966,277,2.86027193069458
1497309089.7017407,278,2.740938186645508
1497309091.5936,279,2.7729544639587402
1497309093.4785416,280,3.0474867820739746
1497309098.478344,281,2.888744354248047
