Wall time,Step,Value
1497314477.1660938,0,3.211824417114258
1497314479.009852,1,3.047935962677002
1497314480.827475,2,2.903864860534668
1497314482.6490166,3,3.1711692810058594
1497314484.4630208,4,2.924609661102295
1497314486.2781794,5,2.944748640060425
1497314488.1125054,6,2.9288811683654785
1497314489.954844,7,2.895954132080078
1497314491.7906446,8,2.880542755126953
1497314493.6156268,9,2.9508044719696045
1497314495.441421,10,2.918095111846924
1497314497.2698658,11,2.89566707611084
1497314499.094374,12,2.8959035873413086
1497314500.920423,13,2.8778445720672607
1497314502.7472148,14,2.996298313140869
1497314504.5869303,15,2.9419548511505127
1497314506.426885,16,2.958223342895508
1497314508.2597878,17,2.950204849243164
1497314510.1060147,18,2.9362049102783203
1497314511.9443638,19,2.9032211303710938
1497314513.77324,20,2.9341487884521484
1497314515.6149297,21,2.944371223449707
1497314517.4665148,22,2.9421072006225586
1497314519.3322518,23,2.9124908447265625
1497314521.1970086,24,2.928122043609619
1497314523.0830739,25,2.915431022644043
1497314524.9467356,26,2.896880626678467
1497314526.8125052,27,2.8659119606018066
1497314528.6749864,28,2.919252872467041
1497314530.5417144,29,2.9088833332061768
1497314532.4077168,30,2.937838554382324
1497314534.2521012,31,2.899204969406128
1497314536.0992017,32,2.8887710571289062
1497314537.941469,33,2.902721643447876
1497314539.7763743,34,2.9388437271118164
1497314541.6330802,35,2.9344072341918945
1497314543.4880097,36,2.9275851249694824
1497314545.357756,37,2.923095464706421
1497314547.1956522,38,2.9776663780212402
1497314549.0446208,39,2.9357497692108154
1497314550.891194,40,2.8952012062072754
1497314552.729849,41,2.910212993621826
1497314554.629801,42,2.9167773723602295
1497314556.5038931,43,2.899498462677002
1497314558.3757312,44,2.8956992626190186
1497314560.2445757,45,2.91707181930542
1497314562.117388,46,2.910079002380371
1497314563.9781296,47,2.909276247024536
1497314565.8580234,48,2.8986587524414062
1497314567.7333193,49,2.9160566329956055
1497314569.6200287,50,2.9127345085144043
1497314571.4829051,51,2.8845982551574707
1497314573.3588834,52,2.933429718017578
1497314575.2298875,53,2.8898720741271973
1497314577.0964599,54,2.924838066101074
1497314578.9580894,55,2.902266502380371
1497314580.8121119,56,2.928539514541626
1497314582.699189,57,2.987786293029785
1497314584.5587099,58,2.936871290206909
1497314586.4151335,59,2.8855273723602295
1497314588.2760339,60,2.934904098510742
1497314590.129378,61,2.8764219284057617
