Wall time,Step,Value
1497319346.8088903,0,2.866142749786377
1497319348.616668,1,4.9771833419799805
1497319350.4235108,2,2.9401040077209473
1497319352.2324712,3,2.963496446609497
1497319354.041717,4,2.929687976837158
1497319355.8531544,5,2.911414623260498
1497319357.6648364,6,2.9187960624694824
1497319359.4802244,7,2.909482955932617
1497319361.2887573,8,2.905376672744751
1497319363.1009734,9,2.9050638675689697
1497319364.9183416,10,2.9082140922546387
1497319366.7420213,11,2.9079196453094482
1497319368.5607023,12,2.91440486907959
1497319370.3827155,13,2.9129278659820557
1497319372.2032292,14,2.9029853343963623
1497319374.0226152,15,2.9065728187561035
1497319375.849978,16,2.907565116882324
1497319377.6746237,17,2.900045871734619
1497319379.5083683,18,2.8970656394958496
1497319381.3421698,19,2.8995730876922607
1497319383.1631012,20,2.914971351623535
1497319384.9921305,21,2.9098358154296875
1497319386.8280299,22,2.902735948562622
1497319388.6595597,23,2.907473087310791
1497319390.4808645,24,2.8957712650299072
1497319392.3137755,25,2.9059436321258545
1497319394.1560814,26,2.912984848022461
1497319395.9884996,27,2.9035892486572266
1497319397.8260067,28,2.8883895874023438
1497319399.6769817,29,2.898364782333374
1497319401.5191598,30,2.8706634044647217
1497319403.360583,31,2.917419910430908
1497319405.2064834,32,2.905006170272827
1497319407.0487888,33,2.870603084564209
1497319408.9019463,34,2.88144588470459
1497319410.743993,35,2.8984780311584473
1497319412.5950515,36,2.9263434410095215
1497319414.4476287,37,2.926192283630371
1497319416.3016846,38,2.9055848121643066
1497319418.1549053,39,2.9057297706604004
1497319420.004314,40,2.912257194519043
1497319421.8590984,41,2.900970935821533
1497319423.7036774,42,2.8971502780914307
1497319425.5595183,43,2.8952269554138184
1497319427.4099631,44,2.8974034786224365
1497319429.2674968,45,2.8971190452575684
1497319431.1278903,46,2.8892130851745605
1497319432.9846406,47,2.8419594764709473
1497319434.8430932,48,2.9871585369110107
1497319436.698909,49,2.8859148025512695
1497319438.5558193,50,2.903426170349121
1497319440.4121656,51,2.9027183055877686
1497319442.261957,52,2.9059319496154785
1497319444.1182904,53,2.880892515182495
1497319445.9749844,54,2.9189035892486572
1497319447.8322754,55,2.902036666870117
1497319449.6864614,56,2.9113056659698486
1497319451.5443842,57,2.902462959289551
1497319453.396702,58,2.903078556060791
1497319455.2506537,59,2.8923873901367188
1497319457.1100857,60,2.9047555923461914
1497319458.9645324,61,2.9163594245910645
1497319460.8246799,62,2.9015536308288574
1497319462.6845894,63,2.9096081256866455
1497319464.5360024,64,2.898240327835083
1497319466.3983092,65,2.893303632736206
1497319468.2522388,66,2.8984620571136475
1497319470.1071482,67,2.8773560523986816
1497319471.9618099,68,2.8793487548828125
1497319473.8177476,69,2.891353130340576
1497319475.676598,70,2.8685731887817383
1497319477.5311837,71,2.949291467666626
1497319479.393306,72,2.8847544193267822
1497319481.2498653,73,2.8819398880004883
1497319483.1129262,74,2.9045591354370117
1497319484.9744432,75,2.8971519470214844
1497319486.82705,76,2.890774965286255
1497319488.6873906,77,2.878568172454834
1497319490.5363655,78,2.8590188026428223
1497319492.3935752,79,2.866621255874634
1497319494.2519243,80,2.8518896102905273
1497319496.1131475,81,2.9102468490600586
1497319497.9654424,82,2.8778271675109863
1497319499.8263059,83,2.873016834259033
1497319501.6868453,84,2.8945741653442383
1497319503.54925,85,2.872732400894165
1497319505.405325,86,2.882059097290039
1497319507.262526,87,2.8703274726867676
1497319509.1169856,88,2.9191362857818604
1497319510.9780252,89,2.877542018890381
1497319512.8316824,90,2.8495147228240967
1497319514.6914375,91,2.8618011474609375
1497319516.547045,92,2.9062631130218506
1497319518.4131575,93,2.8684887886047363
1497319520.2692254,94,2.8737869262695312
1497319522.1308374,95,2.8828842639923096
1497319523.9910436,96,2.9013078212738037
1497319525.853773,97,2.8998851776123047
1497319527.7149577,98,2.810404062271118
1497319529.5651295,99,2.9020743370056152
1497319531.4238312,100,2.882840871810913
1497319533.2849813,101,2.8886172771453857
1497319535.1483333,102,2.8903183937072754
1497319537.0007167,103,2.917038679122925
1497319538.8603656,104,2.85223388671875
1497319540.7155678,105,2.841707229614258
1497319542.5776765,106,2.916250228881836
1497319544.4365885,107,2.933811902999878
1497319546.3005276,108,2.93135142326355
1497319548.1583548,109,2.869899272918701
1497319550.0204105,110,2.878213405609131
1497319551.8799772,111,2.851558208465576
1497319553.74079,112,2.9189701080322266
1497319555.5974698,113,2.9199154376983643
1497319557.4558406,114,2.8757495880126953
1497319559.311839,115,2.8727381229400635
1497319561.1736226,116,2.8518149852752686
1497319563.0339365,117,2.8474202156066895
1497319564.8928924,118,2.8618123531341553
1497319566.758061,119,2.955925941467285
1497319568.6159525,120,2.876595973968506
1497319570.4809632,121,2.8683595657348633
1497319572.3316882,122,2.880805492401123
1497319574.1908782,123,2.8425657749176025
1497319576.047841,124,2.808764696121216
1497319577.9160783,125,2.8799753189086914
1497319579.7692337,126,2.8698248863220215
1497319581.6367064,127,2.8417229652404785
1497319583.4949253,128,2.8693132400512695
1497319585.3558543,129,2.8586983680725098
1497319587.2168758,130,2.8653829097747803
1497319589.0728219,131,2.8466174602508545
1497319590.9354572,132,2.819465160369873
1497319592.7950048,133,2.879734516143799
1497319594.6571167,134,2.8450355529785156
1497319596.5135016,135,2.8489136695861816
1497319598.3760972,136,2.9110403060913086
1497319600.233826,137,2.839982509613037
1497319602.0980783,138,2.8663532733917236
1497319603.9641,139,2.7935290336608887
1497319605.8192394,140,2.8425145149230957
1497319607.6755342,141,2.823765993118286
1497319609.537356,142,2.843024730682373
1497319611.3968315,143,2.8353095054626465
1497319613.2552779,144,2.8278262615203857
1497319615.1104386,145,2.8148512840270996
1497319616.9742165,146,2.831132173538208
1497319618.8376613,147,3.1055688858032227
1497319620.6952455,148,2.8421905040740967
1497319622.5616913,149,2.863534688949585
1497319624.416717,150,2.7743024826049805
1497319626.2802622,151,2.831519842147827
1497319628.1353378,152,2.6968789100646973
1497319629.9931517,153,2.88145112991333
1497319631.8456018,154,2.8916988372802734
1497319633.7073872,155,2.8345017433166504
1497319635.5637953,156,2.8309295177459717
1497319637.4326782,157,2.7148241996765137
1497319639.2929258,158,2.84865665435791
1497319641.157128,159,2.826946258544922
1497319643.0152657,160,2.776280403137207
1497319644.8671272,161,2.8023529052734375
1497319646.7276425,162,2.7854971885681152
1497319648.5849235,163,2.8528876304626465
1497319650.4481707,164,2.9764225482940674
1497319652.3049173,165,2.8380379676818848
1497319654.1663065,166,2.8397035598754883
1497319656.0266922,167,2.788917064666748
1497319657.8892808,168,2.8945212364196777
1497319659.752703,169,2.7784712314605713
1497319661.611249,170,2.941570281982422
1497319663.472041,171,2.9145307540893555
1497319665.3337655,172,2.9067885875701904
1497319667.1910424,173,2.879338502883911
1497319669.0487943,174,2.8608949184417725
1497319670.9051278,175,2.8489582538604736
1497319672.7731876,176,2.873141050338745
1497319674.633806,177,2.907492160797119
1497319676.494284,178,2.7957892417907715
1497319678.3572347,179,2.8115766048431396
1497319680.2157173,180,2.7842583656311035
1497319682.0770214,181,2.8073549270629883
1497319683.9370947,182,2.9088845252990723
1497319685.7978084,183,2.845191478729248
1497319687.6539469,184,2.840585470199585
1497319689.5239918,185,2.84415602684021
1497319691.3828883,186,2.7752182483673096
1497319693.244302,187,2.7117061614990234
1497319695.105955,188,2.8763370513916016
1497319696.9640858,189,2.8028440475463867
1497319698.8280163,190,2.8702807426452637
1497319700.6817665,191,2.797193765640259
1497319702.543309,192,2.8463945388793945
1497319704.395899,193,2.79854679107666
1497319706.2615416,194,2.7737584114074707
1497319708.1173,195,2.8405678272247314
1497319709.9843822,196,2.782844066619873
1497319711.8473845,197,2.744549512863159
1497319713.711986,198,2.8605730533599854
1497319715.5742335,199,2.890136480331421
1497319717.4264436,200,2.85076904296875
1497319719.288064,201,2.815121650695801
1497319721.1481028,202,2.7731881141662598
1497319723.014063,203,2.737300157546997
1497319724.8702962,204,2.8065338134765625
1497319726.7330124,205,2.8155839443206787
1497319728.5851133,206,2.763791799545288
1497319730.4508288,207,2.7027692794799805
1497319732.311737,208,2.8502655029296875
1497319734.1715205,209,2.863880157470703
1497319736.0295029,210,2.780457019805908
1497319737.892438,211,2.9634361267089844
1497319739.7575142,212,2.7646403312683105
1497319741.618796,213,2.813164234161377
1497319743.4801304,214,2.816938877105713
1497319745.3322186,215,2.83878755569458
1497319747.193803,216,2.8938212394714355
1497319749.055583,217,2.8710687160491943
1497319750.919977,218,2.869785785675049
1497319752.7879682,219,2.765502452850342
1497319754.6541436,220,2.7646684646606445
1497319756.5193453,221,2.6726925373077393
1497319758.3734727,222,3.037966728210449
1497319760.2343156,223,2.894573211669922
1497319762.0873644,224,2.821138858795166
1497319763.9473405,225,2.8264636993408203
1497319765.8109446,226,2.7676405906677246
1497319767.6800377,227,2.7844276428222656
1497319769.5425231,228,2.8319149017333984
1497319771.4066906,229,2.778531551361084
1497319773.2720625,230,2.8039534091949463
1497319775.1313055,231,2.7843754291534424
1497319776.9929135,232,2.875539779663086
1497319778.8487034,233,2.7051990032196045
1497319780.7121384,234,2.9042491912841797
1497319782.5737467,235,2.7675461769104004
1497319784.432332,236,2.758359909057617
1497319786.2922425,237,2.790087938308716
1497319788.159949,238,2.8139142990112305
1497319790.0264382,239,3.0887041091918945
1497319791.888679,240,2.781764268875122
1497319793.7514038,241,2.8248772621154785
1497319795.606132,242,2.8852226734161377
1497319797.4721715,243,2.817983388900757
