Wall time,Step,Value
1497310931.5124495,0,2.900177001953125
1497310933.3554137,1,7.415505409240723
1497310935.1651306,2,94.54676818847656
1497310936.9536164,3,3349539979264.0
1497310938.7073596,4,8.053340231363641e+21
1497310940.4933777,5,nan
1497310942.2441757,6,nan
1497310943.9853568,7,nan
1497310945.7386875,8,nan
1497310947.4740655,9,nan
1497310949.218509,10,nan
1497310950.9673944,11,nan
1497310952.7034895,12,nan
1497310954.443837,13,nan
1497310956.1839855,14,nan
1497310957.9196732,15,nan
1497310959.6582096,16,nan
1497310961.3964581,17,nan
1497310963.1323507,18,nan
1497310964.8805327,19,nan
1497310966.6288097,20,nan
1497310968.3803668,21,nan
1497310970.12669,22,nan
1497310971.8634765,23,nan
1497310973.6075196,24,nan
1497310975.3525324,25,nan
1497310977.1017988,26,nan
1497310978.8422577,27,nan
1497310980.5859225,28,nan
1497310982.3326967,29,nan
1497310984.0752585,30,nan
1497310985.8114934,31,nan
1497310987.5536861,32,nan
1497310989.3021908,33,nan
1497310991.0465927,34,nan
1497310992.8092244,35,nan
1497310994.5604799,36,nan
1497310996.3020728,37,nan
1497310998.0463846,38,nan
1497310999.787501,39,nan
1497311001.530339,40,nan
1497311003.2736843,41,nan
1497311005.0181756,42,nan
1497311006.7624137,43,nan
1497311008.4945395,44,nan
1497311010.2354472,45,nan
1497311011.9786215,46,nan
1497311013.7312055,47,nan
1497311015.4782553,48,nan
1497311017.2182808,49,nan
1497311018.9779642,50,nan
1497311020.734973,51,nan
1497311022.4967191,52,nan
1497311024.245077,53,nan
1497311026.0106158,54,nan
1497311027.753014,55,nan
1497311029.5106225,56,nan
1497311031.2616684,57,nan
1497311033.0148742,58,nan
1497311034.7591383,59,nan
1497311036.5002992,60,nan
1497311038.2445996,61,nan
1497311039.9888997,62,nan
1497311041.7334669,63,nan
1497311043.4867048,64,nan
1497311045.2352676,65,nan
1497311047.0044503,66,nan
1497311048.7539303,67,nan
1497311050.5031276,68,nan
1497311052.2424972,69,nan
1497311053.990396,70,nan
1497311055.7384093,71,nan
1497311057.4882982,72,nan
1497311059.2423792,73,nan
1497311060.9837337,74,nan
1497311062.7277238,75,nan
1497311064.4728594,76,nan
1497311066.2183838,77,nan
1497311067.9645994,78,nan
1497311069.7042606,79,nan
1497311071.4633913,80,nan
1497311073.2316537,81,nan
1497311074.9906294,82,nan
1497311076.7420866,83,nan
1497311078.4910707,84,nan
1497311080.2316933,85,nan
1497311081.9786766,86,nan
1497311083.7212214,87,nan
1497311085.4638615,88,nan
1497311087.2082865,89,nan
1497311088.9489095,90,nan
1497311090.688787,91,nan
1497311092.432078,92,nan
1497311094.1836731,93,nan
1497311095.9394841,94,nan
1497311097.6944098,95,nan
1497311099.4445195,96,nan
1497311101.1906378,97,nan
1497311102.9370158,98,nan
1497311104.6868396,99,nan
1497311106.4328535,100,nan
1497311108.175745,101,nan
1497311109.9176285,102,nan
1497311111.657354,103,nan
